frequency,depth,salinity,temp,count_pixels
1,1.5 - 2.0,no data avail,no data avail,2
1,3.0 - 3.5,no data avail,no data avail,3
1,3.5 - 4.0,32.5 - 33.0,29.0 - 29.5,3
1,3.5 - 4.0,33.0 - 33.5,28.5 - 29.0,4
1,3.5 - 4.0,no data avail,no data avail,1
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,2
1,4.0 - 4.5,32.5 - 33.0,29.0 - 29.5,2
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,2
1,4.0 - 4.5,no data avail,no data avail,8
1,4.5 - 5.0,32.5 - 33.0,28.5 - 29.0,2
1,4.5 - 5.0,32.5 - 33.0,29.0 - 29.5,6
1,4.5 - 5.0,33.0 - 33.5,28.5 - 29.0,19
1,4.5 - 5.0,no data avail,no data avail,32
1,no data avail,33.0 - 33.5,28.5 - 29.0,519
1,no data avail,33.0 - 33.5,29.0 - 29.5,3920
1,out of range,32.5 - 33.0,28.5 - 29.0,872
1,out of range,32.5 - 33.0,29.0 - 29.5,230
1,out of range,33.0 - 33.5,28.5 - 29.0,171027
1,out of range,33.0 - 33.5,29.0 - 29.5,132021
1,out of range,no data avail,no data avail,1030
