zone_id,pixel_count,area_m2,area_ha
1,178,71200,7.12
2,123,49200,4.92
3,141,56400,5.64
4,134,53600,5.36
5,63,25200,2.52
6,118,47200,4.72
7,2142,856800,85.68
8,91,36400,3.64
9,120,48000,4.8
10,567,226800,22.68
11,192,76800,7.68
12,1803,721200,72.12
13,2900,1160000,116.0
14,966,386400,38.64
15,188,75200,7.52
16,1029,411600,41.16
17,105,42000,4.2
18,367,146800,14.68
19,504,201600,20.16
20,1119,447600,44.76
21,219,87600,8.76
22,93,37200,3.72
23,117,46800,4.68
24,225,90000,9.0
25,298,119200,11.92
26,110,44000,4.4
27,329,131600,13.16
28,104,41600,4.16
29,133,53200,5.32
30,86,34400,3.44
31,231,92400,9.24
32,102,40800,4.08
33,203,81200,8.12
34,270,108000,10.8
35,96,38400,3.84
36,3396,1358400,135.84
37,306,122400,12.24
38,225,90000,9.0
39,218,87200,8.72
40,108,43200,4.32
41,830,332000,33.2
42,455,182000,18.2
43,8691,3476400,347.64
44,85,34000,3.4
45,89,35600,3.56
46,325,130000,13.0
47,297,118800,11.88
48,142,56800,5.68
49,131,52400,5.24
50,1167,466800,46.68
51,80,32000,3.2
52,326,130400,13.04
53,308,123200,12.32
54,172,68800,6.88
55,1994,797600,79.76
56,589,235600,23.56
57,617,246800,24.68
58,614,245600,24.56
59,379,151600,15.16
60,183,73200,7.32
61,423,169200,16.92
62,152,60800,6.08
63,94,37600,3.76
64,114,45600,4.56
65,834,333600,33.36
66,1790,716000,71.6
67,123,49200,4.92
68,870,348000,34.8
69,1082,432800,43.28
70,134,53600,5.36
71,104,41600,4.16
72,104,41600,4.16
